"","WT_100_1","WT_100_2","WT_100_3","C08_100_1","C08_100_2","C08_100_3"
"CX3CR1",19822.8142926149,20434.7817702112,20250.4542372696,32387.8708504377,31891.6924239428,30660.070834667
"GNS",3368.73150652481,3399.78027788716,3612.59841933303,6236.65506243413,5738.27664959621,5987.07745520079
"LRP1",4525.1334305429,5529.68634829367,5284.64566071351,9036.59479767107,10127.652647652,10098.9121127106
"HEG1",1860.66965315369,1870.83474379674,1921.77467889155,3500.56314724667,3237.84590863479,3577.75280194721
"USP34",3376.314469961,3021.79096529258,2935.70562818461,6274.11245019649,5458.56744806494,5732.94185106692
"ASCC3",1929.86419450887,1794.38746709222,1775.31798621589,3733.82051649414,3246.32194504483,3437.77967623285
"SLC31A1",5008.54734959963,4972.25828898987,4852.78618231092,8879.10350821566,8038.91510374958,8062.84912802866
"FCGBP",173101.045709923,207357.929222352,207552.604145241,328536.19415092,371754.113494921,362433.109314238
"RANBP2",6012.34213446451,5558.35407705786,5470.53300141724,10643.0059501162,9234.03623756504,9958.93898699624
"PARP1",4859.73169216452,4659.03680804774,4962.62870181766,7716.22187904763,8063.1323506354,8482.76850517174
"GOLGA8A",6831.3021855724,5713.37216593092,6066.68684660343,3442.67445706847,3168.82675501019,3446.71413106569
"PLEKHB2",5912.8157393646,5977.75233120072,5760.62991190942,9504.81214470066,9219.50588943355,9384.15572608408
"NRIP1",1700.4795505643,1548.05735326655,1567.83767159204,2998.29362952402,2869.74375597025,3250.15612474339
"BIRC6",3773.47217993114,4068.69394905172,3567.53482158667,7266.73322589922,6331.59919829892,7031.41595343844
"MACF1",11759.2805486626,10988.2342585428,11189.8546153925,19421.6555547874,17464.2675917126,18606.4985479735
"SORL1",2994.32268686322,3226.71213756998,2725.4088387016,5667.98381186001,5204.28635576377,5382.51267817919
"CERS6",678.675227538482,625.38119415226,648.728042556944,1623.43723779168,1312.57478121171,1488.08308826828
"FKBP11",1583.89148773297,1704.13720987161,1638.24954307072,807.887749692873,796.74742254364,843.809623100758
"DOCK8",12372.552716564,12983.2958269844,12802.7558847309,20012.460716312,19787.9124304075,19286.5098324724
"DDB1",12555.4917094619,13048.0636586369,13736.8867130148,20348.7259019059,21535.1867932198,20842.0976905887
"TXNRD2",780.097363497445,978.949848910668,1052.42277236807,0,0,0
"DIP2B",2491.95135921602,2518.51306032116,2349.87885748196,4305.89698413757,4074.55178854004,4278.61114772267
"KLF13",4510.91537410005,4642.04852433562,4946.66867761583,7611.51145416647,8517.20572974462,7937.76676036902
"LRP10",4778.21483522554,4841.66085795298,4815.23318418895,7716.22187904763,9175.91484503906,8302.09397410781
"NIN",5958.3135199817,6112.59683316564,5622.6226438112,10478.7042265222,9277.62728195953,10495.0062769661
"DDX39B",9807.61533427468,10280.035181294,10374.0157311928,6475.87156155288,6346.12954643042,5968.21582833148
"PARP4",4297.64452745737,4367.05068174575,4419.04905400222,7431.03494949324,6792.93775147389,7316.3257908854
"CENATAC",2017.06827402499,1975.94974926546,1963.08297682572,939.839911128484,877.875199611153,1079.08360036532
"TRIP12",8410.45432115775,7664.90125736021,8044.79102267794,14182.7290936599,12510.6297412171,13789.8346758737
"HYOU1",2167.77967231915,2113.9795544264,2443.76135278687,3879.39354620698,4336.09805490695,4199.19377143083
"CPED1",4224.6585043841,3995.43197554322,3796.60811013065,7176.49497356261,6658.53203125756,6568.80973653849
"TGOLN2",6586.75161475546,6608.44236401302,6342.70138279988,10940.9624436805,10050.1574576173,10314.3317459022
"CSNK1A1",2461.61950547128,2225.46516628716,2376.16595616733,3991.76570949408,4102.40162245874,4019.51195757055
"UBR5",3620.86504077793,3129.02950622531,3216.4142891463,5936.14465606786,5648.67283611866,5695.21859732829
"PDIA6",2201.90300778197,2357.12436505606,2367.71653158989,3820.65355176145,3978.89366334103,3970.8688145918
"GIPR",1524.17565067302,1618.13402357902,1658.9036920378,755.106885118628,842.760191626707,793.181045714713
"AHSA2P",5173.47680433664,5183.55006765931,4791.76256036272,3136.20492083092,2910.91307567615,2876.89445617176
"TBC1D5",2410.43450227704,2182.99445700687,2235.34221320996,3933.87701931588,3852.96397953474,3857.69905337594
"GPNMB",771.566529631738,723.063825496925,644.972742744748,1616.62680365307,1407.02204406643,1569.48589896741
"USP22",2942.18981323945,3056.82930044882,3290.58146043718,5032.05952416709,5632.93162564287,5376.5563749573
"FTX",2904.27499605853,2525.94543444521,2450.33312745821,1343.35813384126,927.520555727094,1118.79228851124
"SCRN1",5379.16468754314,5103.91748775877,5284.64566071351,8713.09917608699,7996.53492169939,8543.32425459426
"ACACA",2113.75105783633,2108.67071576636,2223.13748882032,3742.33355916741,3777.89051418869,3488.4082536189
"CEP350",3784.84662508542,3333.95067850271,3412.62870433356,6962.81760246365,5789.13286805645,6288.86348510977
"GTF2I",1802.84955695278,1987.62919431754,2010.96304943122,3602.71965932586,3277.8043659964,3399.06370529058
"MCM3AP",3012.33222502416,3221.40329890994,3311.23560940426,5228.71080991952,5493.68245604938,5127.38435684167
"RASSF2",4036.98015933854,3731.05181027341,3947.75892757156,6342.21679158262,6141.4938102452,6335.52119368122
"AKAP13",4672.05334711896,5037.02612064231,4930.70865341399,8020.1375024832,7489.18359944135,7999.31522699519
"CTNNB1",9402.87466086835,9159.8702240264,9362.9012567589,14557.3029712836,13711.8051867541,14886.7871859047
"SPG7",6459.73697719938,6608.44236401302,6759.53966195369,4207.14568912769,4261.02458956089,4143.60160802655
"NOTCH2",1859.72178272416,1713.69311945967,1688.94609053537,3228.14578170219,3360.14300540821,2937.45020559429
"CLTC",13082.5076682767,12004.3459780738,11615.1423191238,21450.3136238265,18937.8870647151,19905.9653675487
"PTGS2",1002.84691443535,878.081914369981,786.735310655165,377.127790425651,334.198007024384,323.625808389232
"HERC2",3823.70931269586,4082.49692956781,4423.74317876747,6609.52633152315,7095.6533375467,7113.81148134122
"NFATC3",505.214938935769,471.424873011211,436.553603167842,1023.26772932648,1111.57163205936,1017.53513373915
"CDC42BPB",1577.2563947263,1531.06906955443,1727.43791361039,2790.57538829635,2979.93222930076,2855.05467769151
"ZNF700",1735.55075645665,1594.77513347486,1654.20956727255,865.776439871077,804.012596609387,896.4236348941
"EPB41L2",4803.80733682266,4247.07092802893,4627.46819357913,7722.18100891891,7215.52870963153,7516.85466602228
"SSH1",5867.31795874749,5771.76939119132,6135.22106817602,9095.3347921166,9372.07454481424,9051.59546286201
"VPS13D",1930.81206493839,1935.60257544918,2146.1538426703,3615.48922333575,3329.87144680093,3526.13150735752
"ST6GAL1",5660.68220511147,5633.73958603038,5881.73833085276,8695.22178647313,8815.07786644027,8827.24137483758
"NRP1",1525.12352110254,1470.54830883002,1475.83282619322,2657.77192259341,2477.42435641989,2666.4384089984
"PLXDC2",17514.7497967264,16741.95359829,16641.6111177488,27958.5347475378,24756.0806290345,27525.0699055467
"TTLL3",2465.41098718937,2580.09558877757,2666.26286665951,1389.32856427689,1454.24567549379,1517.86460437772
"ASXL2",2622.7574784902,2390.03916474828,2412.78012933625,4608.96130330581,4006.74349725973,4283.57473374091
"KIAA0100",5705.23211529905,5265.30618302387,5661.11446688621,8501.12441352269,9018.5027402812,8708.11531039982
"XACT",2087.21068580969,1951.52909142929,2109.53966950138,784.05123020773,559.418403062556,979.811880000527
"MCM2",937.443854798266,930.108533238336,1062.74984685161,2040.57632878168,2152.91324814983,1760.08760206782
"SLCO2B1",6168.74075533581,6842.03126505461,6302.33190981876,10168.8294732153,11175.0485754639,10067.1451621939
"VCL",723.225137726064,708.199077248824,683.464565819762,1349.31726371254,1394.91342062352,1356.0517001831
"OGDH",3452.14410432284,3907.30525378662,3801.3022348959,6102.14898819654,6513.22854994261,5940.41974662934
"MRC1",453.082065312003,367.371635274502,459.085402041021,993.472079970055,942.050903858589,1044.33849823764
"NUP98",2943.13768366898,3234.14451169403,3053.05874731575,5047.38300097897,5095.30874477756,4839.49636778376
"EIF4G1",9929.89061968315,9529.36539476491,10140.2483178836,14679.0394815113,15910.731203987,14831.1950225004
"TLR8",1152.61044229999,1028.85293231501,1178.22531607665,2000.56502821734,2068.15288404945,2078.74982443881
"MYOF",5914.71148022364,5927.84924779638,5904.27012972594,9595.9017013046,8695.20249435544,9184.61956815084
"UBE4A",2466.3588576189,2375.17441650018,2217.50453910203,4129.67700080098,3768.20361543436,3954.98533933344
"IQGAP1",13953.6005930084,12954.6280982202,12535.1907731119,21791.6866350244,19506.992366532,20799.4108508319
"ROBO1",2350.71866521709,2301.91244299168,2232.52573835081,3955.15962599904,3602.31547426646,3770.33993945492
"NIBAN1",3833.18801699109,3779.89312594575,3939.30950299412,5858.67596774115,5945.33411047002,5981.1211519789
"USP9X",3862.5720003063,3608.94852109258,3794.73046022456,6288.58462274104,5691.05301816885,6022.81527453212
"LUZP1",1745.9773311814,1710.50781626365,1838.21925807018,2953.17450335572,2975.08877992359,2882.85075939365
"MSH6",1656.87751080624,1590.52806254683,1618.53421905669,3157.48752751408,2804.35718937853,2669.41656060934
"TSC22D3",3713.75634287119,4106.91758740398,4153.36159228932,2202.32413957372,2502.85246565,2149.23274589781
"CPD",2013.27679230689,1678.65478430343,1767.8073865915,3419.68924185065,3199.09831361747,3126.0664742874
"ADGRE4P",2748.82424561676,2925.17010167993,2747.94063757478,1586.83115429664,1638.29675182606,1733.28423756932
"CKAP5",2774.41674721388,2865.71110868752,2782.6771608376,4636.20303986026,4296.13959754534,4448.36578954647
"USP37",356.399281500655,356.75395795443,381.162930937944,906.63904470275,745.891204083407,885.503745653972
"EFCAB14",4938.40493781493,4862.89621259312,4745.76013766332,7837.95838927532,7112.60541036678,7695.54376267891
"VSIG4",4473.00055691913,4667.53094990379,5246.1538376385,7504.24711648332,8117.62115612851,7989.38805495871
"MIR503HG",2717.5445214425,2980.3820237443,3004.23984975719,1615.77549938575,1717.00280420499,1759.09488486417
"DCTN1",2399.06005712276,2585.40442743761,2905.66322968704,4448.91610104842,5445.24796227773,4637.97477544323
"SGPL1",2274.88903085525,2203.16804391501,2203.42216480629,3975.59092841487,3438.84905778714,3783.24526310234
"PCDHGC3",394.314098681576,377.989312594575,335.160508238537,855.560788663158,904.51417118556,778.290287659993
"REC8",541.234015257644,578.663413943942,586.765595655702,222.190413772223,227.642120726754,226.339522431733
"NOMO2",992.420339710601,939.664442826401,823.349483824081,1636.20680180158,1888.94525709434,1986.42712449955
"MCL1",16270.1959227626,14909.3424928456,14722.6529137163,10317.8077199975,9880.63672941656,10101.8902643215
"ERMN",571.565869002381,538.316240127667,541.701997909344,154.937376653428,217.955221972424,208.47061276607
"PRRC2B",5350.72857465745,5400.15068498878,5872.35008132227,8207.42444129503,9303.05539118964,8945.37472207169
"ITGA6",1242.65813310468,1201.92107263219,1155.69351720347,2287.45456630637,2010.03149152347,2077.75710723516
"SSXP10",150.71139829416,131.659198768897,148.334342581761,13.6208682772244,20.5846598529512,9.92717203647951
"VIM",9536.5243914311,9496.45059507269,9166.68684157164,6441.81939085982,6403.04007661211,6289.85620231342
"TRRAP",1967.77901168979,2290.2329979396,2390.24833046307,3692.10660739514,3809.37293514026,3919.24752000211
"GALC",1734.60288602713,1691.39599708752,1499.30345001945,2951.47189482106,2689.32526667086,2862.00369811704
"AP2B1",2540.29275112169,2479.22765423689,2505.72379968811,3955.15962599904,3872.3377770434,3860.67720498688
"NPIPB5",817.064310248843,883.390753030017,806.450634669197,373.722573356345,409.271472370441,322.633091185584
"COPB2",2537.44913983312,2453.74522866871,2587.40157060338,4002.83266496932,3903.82019799498,3919.24752000211
"GAB2",3121.3373244193,3270.24461458228,3265.23318670485,4820.93606587012,5123.15857869626,4967.55688705435
"HDLBP",8133.67615573703,8601.38039699059,8747.03208755868,12625.6935887197,13739.6550206728,12428.8193896723
"ATP2A2",9235.10159484278,9882.93404952332,9334.73650816743,14025.2378042045,13877.693327922,13730.2716436548
"FLNB",1308.06119274177,1313.40668449295,1405.42095471454,2244.03804867272,2358.75984667935,2200.85404048751
"SORT1",6536.51448199074,6909.98439990307,6960.4482019062,10744.3111579281,9747.44187154453,10431.4723759327
"HIVEP3",2742.1891526101,3050.45869405678,3125.34826870053,4694.94303430579,4660.609163177,4946.70982577774
"ZFP36L2",5568.73877344774,6399.27412080759,6354.90610718951,9277.51390532448,9976.29485461557,9542.99047866775
"TBC1D16",763.035695766031,819.684689109583,821.471833917983,1363.78943625709,1673.4117598105,1604.23100109509
"CTDSP2",4422.76342415441,4814.05489692079,4912.87097930606,6938.12977871118,7571.52223885316,7530.75270687336
"FOXN3",5611.39294277628,5538.18049014973,5584.13082073618,9107.25305185917,7949.31129027203,8655.50129860648
"ANTXR1",4562.10037729429,4514.63639649475,4385.25135569245,6754.24805696865,6489.01130305679,7046.30671149315
"CBL",6232.24807411385,6508.63619720434,6030.07267343452,10002.8251410867,8909.52512929499,10074.0941826194
"CLEC2D",1819.9112246842,1396.22456758951,1518.07994908043,807.887749692873,582.424787604089,743.545185532315
"KAT6A",2028.44271917926,2119.28839308644,2050.39369745928,3172.81100432596,3263.27401786491,3545.98585143048
"AGER",605.68920446521,547.872149715732,585.826770702653,219.636500970244,263.967991055492,233.288542857268
"HEATR1",1526.07139153206,1459.93063150994,1471.13870142798,2519.00932701919,2453.20710953406,2332.88542857268
"ARHGAP31",4427.50277630202,4411.64492649005,4436.88672811016,6675.92806437461,6458.7397444495,6408.98226675117
"RAB11FIP1",1170.61998046093,1181.74748572405,1326.55965865841,2187.00066276184,2152.91324814983,2013.23048899804
"ITGB1",6312.81706062331,5943.77576377649,5570.9872713935,10142.4390409282,8633.44851479658,9645.24035064349
"ASMTL-AS1",627.490224344239,631.751800544303,651.544517416091,211.974762564305,295.450412007064,267.040927781299
"SETX",4964.94530984158,4321.39466926944,4955.11810219327,8288.29834669105,7037.53194502072,8012.22055064261
"PTPRJ",9709.03680960429,10188.7231563414,10470.7147013569,14893.5681568776,14207.0478855692,15272.9541781237
"ITPR2",6701.44393672775,5985.18470532477,5719.32161397526,11166.558074522,9053.61774826564,10583.3581080908
"ZNF469",701.424117847034,641.307710132368,631.82919340206,1167.13815050467,1496.62585754398,1289.53964753869
"MYO1E",897.6332967583,905.687875402169,1028.95214854184,1618.32941218773,1730.32228999219,1686.62652899787
"TGFBR2",4401.9102747049,4170.62365132441,3684.88794071781,6563.55590108751,6489.01130305679,6359.34640656877
"APAF1",3041.71620833937,2713.87832301049,2916.92912912363,4579.16565394938,4522.5708559278,4366.96297884734
"CARD9",1750.71668332902,1819.8698926604,1882.34403086349,949.204258069076,1129.73456722373,927.197868207186
"NFE2L1",3554.51411071132,3585.58963098842,3813.50695928554,5535.18034615707,5515.47797824662,5365.63648571717
"FOCAD",828.438755403119,892.946662618083,775.469411218576,1503.40333609864,1431.23929095225,1654.85957848113
"RGL1",1068.24997407244,1211.47698222025,1022.3803738705,2070.37197813811,1811.4500670597,2054.92461155126
"WNK1",9243.63242870849,8670.39529957106,8723.56146373245,13676.2030546006,12352.006774115,13473.15788791
"MED1",2193.37217391627,2069.3853096821,2174.31859126177,3572.92400996943,3203.94176299464,3412.96174614166
"PLXND1",327.015298185442,454.436589299096,409.327679529418,858.114701465138,1035.28730436902,856.714946748182
"TLR7",5691.96192928573,5365.11234983255,5207.66201456349,8931.03306852258,7710.77140844665,8555.23686103804
"ZNF26",1713.74973657762,1479.04245068607,1493.67050030115,880.248612415628,807.645183642261,887.489180061268
"PCDHGA10",304.266407876889,239.959507433635,301.362809928769,617.195593811731,674.450325770224,679.018567295198
"MSN",36576.4241344343,35356.8654758408,36505.2694743621,49425.0231524434,51306.6592523087,49707.3358210602
"LIPA",8473.9616399358,8290.28245151247,7914.29435420411,13511.0500267393,11578.2657361129,12462.5717745964
"C3",238104.104025753,249040.806845492,250742.307285313,340463.818240432,375040.393897328,342507.289602616
"PLXNC1",9700.50597573858,9512.3771110528,9633.28284323705,14685.8499156499,13332.8052729909,13743.1769673022
"CMKLR1",1801.90168652326,1930.29373678915,1693.64021530062,2875.705815029,2992.04085274367,2868.95271854258
"ERC1",1603.79676675295,1528.94553409041,1562.20472187374,2529.22497822711,2579.13679334035,2402.37563282804
"FPR1",872.988665590701,901.44080447414,885.311930725323,1533.19898545507,1634.66416479318,1462.27244097343
"DPYD",1891.94937732795,1960.02323328535,1870.13930647385,3238.3614329101,3051.37310761394,2862.00369811704
"MAN2C1",5366.84237195934,5790.88121036745,5963.41610176803,3160.89274458339,3689.49756305543,3747.50744377101
"SETD7",1791.47511179851,1771.02857698806,1790.33918546468,3031.49449594976,3004.14947618658,2648.56949933273
"NDRG1",3068.25658036601,3286.17113056238,3666.11144165683,5048.2343052463,5783.07855633499,5512.55863185707
"MYO15B",4884.37632333212,5566.84821891392,5748.42518751978,2902.94755158345,3588.99598847925,2980.13704535115
"DUSP1",8341.25977980257,9124.83188887016,9472.74377626565,5892.72813843421,6059.15517083339,6095.28363039842
"CYP51A1",116.588062831331,117.856218252803,119.230769037239,317.536491712794,357.204391565917,352.414607295023
"SLC12A2",532.703181391937,564.860433427848,561.417321923376,1136.49119688091,961.424701367249,1094.96707562369
"SEC23B",1918.48974935459,1914.36722080904,1771.5626864037,3148.12318057349,2849.1590961173,2948.37009483441
"CDK5RAP3",894.78968546973,892.946662618083,879.678981007028,452.893870217712,455.284241453508,479.48240936196
"ABCC4",7779.17261509542,7864.51359097757,7516.23257411128,12520.1318595712,10704.0231235346,11690.2377901583
"CYBB",47734.7548307793,42498.3152413215,41109.267044115,73664.2095560316,62566.468191873,67301.2628213128
"GCN1",3365.88789523624,3666.28397862097,3331.88975837134,5136.76994904826,5806.08494087652,5214.74347076269
"CCNL1",13244.5935117252,12056.3725969421,11813.2343842171,8650.95396457215,7049.64056846363,7563.51237459374
"EP300",4686.27140356181,4533.74821567088,4831.19320839079,6972.18194940425,6599.19977638729,7261.72634468476
"HLA-DMA",4107.12257112324,4313.96229514539,4250.99938740643,2729.28148104884,2913.33480036474,2790.52805945439
"URB1",639.812539928038,763.4109993132,888.12840558447,1457.43290566301,1626.18812838314,1468.22874419532
"SPTAN1",5054.99300064626,5347.06229838842,5658.29799202707,7787.73143750306,8107.93425737418,7843.45862602246
"DNAJC13",2833.18471384431,3033.47041034466,2572.3803713546,4786.88389517705,4192.00543593629,4707.46497969858
"RSRP1",4536.50787569717,4733.36054928824,4599.30344498765,2953.17450335572,3160.35071860015,3165.77516243332
"OSGEP",3662.57133967695,3223.52683437396,3677.37734109342,2177.63631582125,2127.48513891972,2307.07478127784
"CHST11",3181.05316147925,3350.93896221483,3394.79103022563,4803.05867625626,4998.43975723426,4906.00842042817
"ADAM9",4307.1232317526,3739.54595212947,3741.21743790076,6678.48197717659,5791.55459274503,6295.8125055353
"PIK3AP1",10656.9072391273,10132.449466545,9972.19865128779,15666.5524316101,14217.9456466678,14652.5059258438
"PSMD2",4999.0686453044,4905.36692187341,5338.15868303731,7333.98626301802,8299.2505077722,7453.32076498881
"POM121",1070.14571493149,1317.65375542098,1463.62810180358,2192.95979263313,2662.68629509645,2443.07703817761
"LUC7L",2570.62460486643,2821.11686394322,2685.03936572049,1721.33722853424,1685.52038325341,1743.2114096058
"TMEM140",259.716497689307,332.333300118264,317.322834130604,664.01732851469,653.865665917273,685.967587720734
"DOCK11",2545.03210326931,2324.20956536383,2306.6929096417,4306.74828840489,3553.88098049481,3852.7354673577
"ITPR1",2082.47133366207,1816.68458946437,1829.76983349274,2999.99623805868,3041.68620885961,3061.53985605028
"PECAM1",6266.37140957668,6209.2176967783,6368.98848148525,9500.55562336403,9053.61774826564,8626.71249970069
"CCL22",1145.02747886381,1294.29486531682,1349.09145753159,538.024296950364,721.673957197582,641.295313556576
"CYFIP1",17518.5412784444,19298.6902969635,19220.5632637747,25917.9584187561,28190.0862374445,26713.0272329627
"UGGT1",3533.66096126182,3566.47781181229,3578.80072102326,5526.6673034838,5155.85186199212,5065.83589021549
"CCDC18-AS1",1725.1241817319,1526.8219986264,1626.04481868108,999.431209841341,922.677106349929,929.183302614482
"DIAPH1",6556.41976101073,6743.28686597793,6697.57721505244,9798.51211692831,9259.46434679516,9269.00053046092
"PJA2",5541.25053099157,5244.07082838372,5020.83584890671,8888.46785515625,7452.85772911262,8060.86369362136
"WDR3",1391.47379053979,1442.94234779783,1344.39733276634,2176.78501155393,2174.70877034708,2257.43892109544
"POLR1A",2036.97355304497,2130.96783813852,2255.99636217704,3360.0979431378,3309.28678694797,3192.57852693181
"HECTD1",5030.34836947866,4571.97185402314,4783.31313578528,7350.16104409722,6800.20292553964,6990.71454808887
"KMT2C",4429.39851716107,4410.58315875804,4383.37370578636,6527.8011218598,6078.52896834205,6445.71280328614
"LHFPL2",3074.89167337268,3129.02950622531,3107.5105945926,5017.58735162254,4354.26099007132,4764.04986030652
"NEK9",3900.48681748723,3670.531049549,3701.78678987269,2588.81627693996,2496.79815392855,2437.12073495572
"SAMHD1",27320.469390142,26577.108099873,26985.584450444,37826.0025101195,35852.4231521195,36909.2256316308
"PARM1",9272.06854159418,8958.13435494502,9055.90549711184,13099.8700656206,12391.9652314766,12596.5885970888
"SRA1",8626.568779089,9487.95645321663,9375.10598114854,5395.56644631552,6378.82282972628,6168.74470346837
"C6orf89",3329.86881891437,3051.52046178879,3131.92004337187,4617.47434597908,4848.29282654215,4635.98934103593
"FAM168B",4881.53271204355,5040.21142383833,5080.92064590185,7257.36887895863,6956.40416795321,7099.91344049014
"SPEN",3032.23750404414,3344.56835582278,3447.36522759638,4887.33779872158,4856.76886295219,5034.06893969876
"ATP11A",5896.7019420627,6590.39231256889,6399.03087998282,8924.22263438397,9384.18316825715,9106.19490906265
"SEL1L",3545.98327684562,3146.01778993743,2988.27982555536,5914.01074511737,4761.11073775318,5321.95692875666
"MBP",4231.29359739076,4276.80042452513,3968.41307653864,6269.00462459254,5997.40119127454,5907.66007890896
